NAME DICEg SEg SPg DICEw SEw SPw
pat04 0.929676 0.928063 0.993944 0.937519 0.959410 0.994968
pat05 0.925750 0.910329 0.994748 0.944717 0.972243 0.995348
pat06 0.931308 0.923106 0.994901 0.947789 0.936967 0.997571
pat18 0.929784 0.907226 0.995688 0.951545 0.981605 0.995860
pat20 0.929190 0.909970 0.995533 0.945442 0.979879 0.995008
pat38 0.891567 0.848007 0.994895 0.899207 0.980562 0.989512
pat41 0.923344 0.901989 0.995143 0.948386 0.975664 0.995599
pat42 0.915812 0.886118 0.995331 0.919743 0.987088 0.991882
pat43 0.926480 0.903876 0.995121 0.951988 0.964938 0.996317
pat44 0.903353 0.869683 0.994810 0.929710 0.972231 0.993476
pat45 0.934732 0.935857 0.994161 0.952621 0.954339 0.997155
pat46 0.907673 0.896379 0.992947 0.916064 0.952183 0.993188
pat47 0.910053 0.884045 0.994689 0.931561 0.983211 0.992841
pat48 0.900465 0.907437 0.991192 0.905359 0.921798 0.993127
pat49 0.897046 0.870685 0.994037 0.918296 0.969220 0.990533
pat50 0.905346 0.890960 0.993578 0.924584 0.972988 0.992575
pat51 0.879064 0.828565 0.994989 0.880443 0.987862 0.986187
pat52 0.925505 0.916510 0.994236 0.935973 0.966078 0.994593
pat53 0.922027 0.898650 0.995138 0.942258 0.975489 0.995148
pat54 0.897641 0.868537 0.993956 0.899388 0.966127 0.990703
